Wall time,Step,Value
1562262675.0455732,0,0.6316858530044556
1562262686.5003572,1,0.1916045993566513
1562262698.1512556,2,0.031144211068749428
1562262709.7104385,3,0.014218009077012539
1562262721.278985,4,0.005416384432464838
1562262732.9981973,5,0.0013540961081162095
1562262744.5596228,6,0.0013540961081162095
1562262756.096368,7,0.0006770480540581048
1562262767.5491874,8,0.0006770480540581048
1562262779.113505,9,0.0
1562262790.584209,10,0.0
1562262802.0358593,11,0.0
1562262813.5539382,12,0.0
1562262824.9679809,13,0.0
1562262836.3281655,14,0.0
1562262847.7361104,15,0.0
1562262859.188388,16,0.0
1562262870.579081,17,0.0
1562262882.1230597,18,0.0
1562262893.8984816,19,0.0
1562262905.6178067,20,0.0
1562262917.0673134,21,0.0
1562262928.6404762,22,0.0
1562262940.3698292,23,0.0
1562262951.8144174,24,0.0
1562262963.6781611,25,0.0
1562262975.0408974,26,0.0
1562262986.444386,27,0.0
1562262997.9382274,28,0.0
1562263009.48217,29,0.0
1562263021.0339735,30,0.0
1562263032.447092,31,0.0
1562263043.88715,32,0.0
1562263055.326305,33,0.0
1562263066.6884263,34,0.0
1562263077.9890883,35,0.0
1562263089.6947496,36,0.0
1562263101.1562133,37,0.0
1562263112.8401453,38,0.0
1562263124.445685,39,0.0
1562263136.1095128,40,0.0
1562263147.670953,41,0.0
1562263159.256542,42,0.0
1562263170.6165607,43,0.0
1562263182.0749905,44,0.0
1562263193.5777328,45,0.0
1562263205.0612268,46,0.0
1562263216.6254394,47,0.0
1562263228.3588357,48,0.0
1562263239.889803,49,0.0
1562263251.2620258,50,0.0
1562263262.9853368,51,0.0
1562263274.460218,52,0.0
1562263285.856101,53,0.0
1562263297.314816,54,0.0
1562263308.783949,55,0.0
1562263320.3623703,56,0.0
1562263332.010253,57,0.0
1562263343.3982544,58,0.0
1562263354.810785,59,0.0
1562263366.1813562,60,0.0
1562263377.5980892,61,0.0
1562263389.06419,62,0.0
1562263400.4856243,63,0.0
1562263411.966616,64,0.0
1562263423.3393254,65,0.0
1562263434.891932,66,0.0
1562263446.3496869,67,0.0
1562263457.7941518,68,0.0
1562263469.2537534,69,0.0
1562263480.6808884,70,0.0
1562263492.31327,71,0.0
1562263503.793511,72,0.0
1562263515.4135125,73,0.0
1562263527.0452325,74,0.0
1562263538.48876,75,0.0
1562263550.1620793,76,0.0
1562263561.713518,77,0.0
1562263573.0941963,78,0.0
1562263584.4593272,79,0.0
1562263595.8934467,80,0.0
1562263607.5674307,81,0.0
1562263619.2495775,82,0.0
1562263630.716542,83,0.0
1562263642.4928079,84,0.0
1562263653.997436,85,0.0
1562263665.4956868,86,0.0
1562263677.0226715,87,0.0
1562263688.439295,88,0.0
1562263700.1390579,89,0.0
1562263711.7511964,90,0.0
1562263723.388524,91,0.0
1562263734.981014,92,0.0
1562263746.4565668,93,0.0
1562263757.8421607,94,0.0
1562263769.268313,95,0.0
1562263780.8245735,96,0.0
1562263792.268769,97,0.0
1562263803.685449,98,0.0
1562263815.1770573,99,0.0
