Wall time,Step,Value
1562262267.6780515,0,1.4466094970703125
1562262279.2841926,1,0.5527961254119873
1562262290.8483615,2,0.10530880093574524
1562262302.3196225,3,0.04498674347996712
1562262313.8917215,4,0.01658421941101551
1562262325.4101086,5,0.008445222862064838
1562262336.9639401,6,0.006386097986251116
1562262348.311306,7,0.002852447796612978
1562262359.7570074,8,0.0014864638214930892
1562262371.3124025,9,0.001457621925510466
1562262386.0948195,10,1.001770257949829
1562262400.4636576,11,0.7172709107398987
1562262415.0043082,12,0.6564624309539795
1562262429.621407,13,0.5827957391738892
1562262444.143678,14,0.5157783031463623
1562262458.5100684,15,0.49126023054122925
1562262473.2360673,16,0.4715252220630646
1562262487.832491,17,0.41916289925575256
1562262499.1722589,18,0.05958132818341255
1562262510.4090745,19,0.02458016201853752
1562262524.8086119,20,0.4507056474685669
1562262539.2966042,21,0.4093668758869171
1562262553.9299967,22,0.35931605100631714
1562262568.6120374,23,0.2811006009578705
1562262583.065863,24,0.26966148614883423
1562262597.5233607,25,0.219522163271904
1562262612.0179105,26,0.21312782168388367
1562262626.5393474,27,0.22768016159534454
1562262637.9005666,28,0.02371356077492237
1562262649.4344413,29,0.007649540435522795
1562262664.084918,30,0.4057040512561798
1562262678.487448,31,0.271409273147583
1562262692.900396,32,0.23091091215610504
1562262707.30565,33,0.17253613471984863
1562262721.713526,34,0.18212443590164185
1562262736.1337693,35,0.22326436638832092
1562262750.4680393,36,0.20727135241031647
1562262764.8955915,37,0.18611887097358704
1562262776.079619,38,0.014826967380940914
1562262787.4117026,39,0.005898583214730024
1562262801.7932892,40,0.22828759253025055
1562262816.1904588,41,0.18828706443309784
1562262830.5965424,42,0.14091439545154572
1562262844.9961262,43,0.15454891324043274
1562262859.554747,44,0.15237341821193695
1562262873.8556323,45,0.17077003419399261
1562262888.139404,46,0.1445322185754776
1562262902.5438313,47,0.10900348424911499
1562262914.5585392,48,0.004645715467631817
1562262925.9456728,49,0.002530463272705674
1562262940.5221856,50,0.1303718537092209
1562262954.8497245,51,0.080656498670578
1562262969.1703088,52,0.10834647715091705
1562262983.6185174,53,0.08776655048131943
1562262998.6413782,54,0.10099110752344131
1562263013.2922623,55,0.09828360378742218
1562263027.7767124,56,0.1033744066953659
1562263042.4331505,57,0.10234787315130234
1562263053.802821,58,0.009357097558677197
1562263065.0654585,59,0.005855143535882235
1562263079.671886,60,0.15670989453792572
1562263094.0168312,61,0.12556621432304382
1562263108.5753908,62,0.10240152478218079
1562263123.0173671,63,0.11009818315505981
1562263137.2934332,64,0.11302404850721359
1562263151.7114143,65,0.09059375524520874
1562263166.092754,66,0.10959716141223907
1562263180.6338296,67,0.09967687726020813
1562263191.9856799,68,0.004140840843319893
1562263203.406241,69,0.0038840381894260645
1562263217.8277335,70,0.16766920685768127
1562263232.2154408,71,0.10424583405256271
1562263246.7340066,72,0.12986139953136444
1562263261.2188456,73,0.1358664482831955
1562263275.691245,74,0.1027999147772789
1562263290.080052,75,0.10508343577384949
1562263304.8772616,76,0.06946240365505219
1562263319.277563,77,0.07472296804189682
1562263330.713809,78,0.0040154228918254375
1562263341.9944735,79,0.0035754102282226086
1562263356.4642048,80,0.11091189831495285
1562263371.0966966,81,0.08747062087059021
1562263385.52067,82,0.08126594871282578
1562263399.888877,83,0.06010167673230171
1562263414.3369246,84,0.0906367376446724
1562263428.948216,85,0.09218214452266693
1562263443.535376,86,0.07782524824142456
1562263457.9398313,87,0.09081964939832687
1562263469.3819249,88,0.0030547885689884424
1562263480.7834463,89,0.003621257608756423
1562263492.0861251,90,0.001105251256376505
1562263503.6256406,91,0.0006797712412662804
1562263515.1415792,92,0.0005081247072666883
1562263526.8549063,93,0.0004996736533939838
1562263538.152942,94,0.0004888545954599977
1562263549.6113355,95,0.0004326475609559566
1562263560.9357188,96,0.0005425173440016806
1562263572.3726177,97,0.00040557212196290493
1562263583.7289815,98,0.0003895275294780731
1562263595.0420046,99,0.0003053584950976074
